AKCD3001,1552 Tenka Tairan,ASK Kodansha,1993,Japan,SuperCDROM2
HECD4010,3x3 Eyes - Sanjiyan Hensei,NEC Home Electronics,1994,Japan,ArcadeCDROM2
ADCD3001,A. III,Artdink,1993,Japan,SuperCDROM2
GLCD4001,Advanced Variable Geo,TGL,1994,Japan,SuperCDROM2
HCD2028,Adventure Quiz - Capcom World Hatena no Daibouken,Hudson,1992,Japan,SuperCDROM2
NSCD5018,Ai Chou Aniki,NCS,1995,Japan,SuperCDROM2
KMCD3005,Akumajou Dracula X - Chi no Rondo,Konami,1993,Japan,SuperCDROM2
JCCD4014,Alshark [Imperfect],Victor Entertainment,1994,Japan,SuperCDROM2
NAPR-1045,Ane-San,NEC Avenue,1995,Japan,SuperCDROM2
RSCD4006,Alnam no Kiba - Juuzoku Juuni Shinto Densetsu,Right Stuff,1994,Japan,SuperCDROM2
NAPR-1049,Asuka 120% Maxima Burning Fest,NEC Avenue,1995,Japan,SuperCDROM2
PVCD-3010,Aurora Quest - Otaku no Seiza,Pack-In-Video,1993,Japan,SuperCDROM2
TJCD0011,Avenger,Nihon Telenet,1990,Japan,CDROM2
TJCD2024,Babel,Nihon Telenet,1992,Japan,SuperCDROM2
MWCD2004,Baby Jo,Micro World,1992,Japan,SuperCDROM2
SRCD4001,Bakuden Unbalance Zone,Sony Music Entertainment,1994,Japan,SuperCDROM2
HMD-002,Bakuretsu Hunter,Dengeki,1994,Japan,SuperCDROM2
HCD4045,Bakushou Yoshimoto no Shinkigeki,Hudson,1994,Japan,SuperCDROM2
NAPR-1042,Basted,NEC Avenue,1994,Japan,SuperCDROM2
FCCD4001,Shin Nihon Pro Wrestling Kounin - '94 Battlefield in Tokyo Dome,Fujicom,1994,Japan,ArcadeCDROM2
HECD5025,Bazaru Degozaru no Game Degozaru,NEC Home Electronics,1996,Japan,SuperCDROM2
HCD8003,Bikkuriman Daijikai,Hudson,1988,Japan,CDROM2
BACD4002,Bishoujo Senshi Sailor Moon,Banpresto,1994,Japan,SuperCDROM2
BACD4004,Bishoujo Senshi Sailor Moon Collection,Banpresto,1994,Japan,SuperCDROM2
MNCD3001,Black Hole Assault,Micronet,1993,Japan,SuperCDROM2
HCD4048,Blood Gear,Hudson,1994,Japan,SuperCDROM2
HCD3054,Bomberman '94 Taikenban,Hudson,1993,Japan,SuperCDROM2
HCD4069,Bomberman Panic Bomber,Hudson,1994,Japan,SuperCDROM2
NAPR-2028,Bonanza Bros.,NEC Avenue,1992,Japan,SuperCDROM2
HECD4007,Brandish,NEC Home Electronics,1994,Japan,ArcadeCDROM2
TJCD1020,Browning,Nihon Telenet,1992,Japan,SuperCDROM2
MWCD2003,Builderland,Micro World,1992,Japan,SuperCDROM2
NBCD1001,Bunilla Syndrome Mahjong,Nichibutsu,1991,Japan,SuperCDROM2
RHCD1001,Burai - Hachigyoku no Yuushi Densetsu,Riverhill Software,1991,Japan,CDROM2
RHCD2004,Burai II - Yami Koutei no Gyakushuu,Riverhill Software,1992,Japan,SuperCDROM2
NAPR-1034,Cal II,NEC Avenue,1993,Japan,SuperCDROM2
NAPR-1039,Cal III,NEC Avenue,1994,Japan,SuperCDROM2
FCCD4002,Cardangels,Fujicom,1994,Japan,SuperCDROM2
KICD3001,CD Battle Hikari no Yuushatachi,King Records,1993,Japan,SuperCDROM2
HCD3049,CD Denjin Rockabilly Tengoku,Hudson,1993,Japan,SuperCDROM2
IGCD3006,Championship Rally,Intec,1993,Japan,SuperCDROM2
NAPR-1033,Chiki Chiki Boys,NEC Avenue,1994,Japan,SuperCDROM2
NSCD2013,Chou Aniki,NCS,1992,Japan,SuperCDROM2
HCD4032,Chou Eiyuu Densetsu - Dynastic Hero,Hudson,1994,Japan,SuperCDROM2
HCD8004,Cobra - Kokuryuuou no Densetsu,Hudson,1989,Japan,CDROM2
HCD1014,Cobra II - Densetsu no Otoko,Hudson,1991,Japan,CDROM2
CJCD2002,Color Wars,Coconuts Japan,1992,Japan,CDROM2
TJCD9003,Cosmic Fantasy - Bouken Shounen Yuu,Nihon Telenet,1990,Japan,CDROM2
TJCD1015,Cosmic Fantasy II - Bouken Shounen Ban,Nihon Telenet,1991,Japan,CDROM2
TJCD2029,Cosmic Fantasy III - Bouken Shounen Rei,Nihon Telenet,1992,Japan,SuperCDROM2
TJCD4040,Cosmic Fantasy IV - Ginga Shounen Densetsu Gekitou Hen,Nihon Telenet,1994,Japan,SuperCDROM2
TJCD4038,Cosmic Fantasy IV - Ginga Shounen Densetsu Totsunyuu Hen,Nihon Telenet,1994,Japan,SuperCDROM2
HCD3043,Cotton - Fantastic Night Dreams,Hudson,1993,Japan,SuperCDROM2
,Crazy Hospital - Fushigi no Kuni no Tenshi,Asia Soft Lab,1997,Japan,SuperCDROM2
HCD3044,Crest of Wolf,Hudson,1993,Japan,SuperCDROM2
NSCD0003,Cyber City OEDO 808,NCS,1991,Japan,CDROM2
NAPR-1019,Daisenpuu Custom,NEC Avenue,1991,Japan,CDROM2
MCCD1003,Daisenryaku II - Campaign Version,Micro Cabin,1992,Japan,SuperCDROM2
NIPR-1002,De-Ja,NEC Interchannel,1996,Japan,SuperCDROM2
HECD5024,Dead of the Brain I II,NEC Home Electronics,1999,Japan,SuperCDROM2
TJCD0007,Death Bringer - The Knight of Darkness,Nihon Telenet,1990,Japan,CDROM2
TJCD0013,Dekoboko Densetsu - Hashire Wagamanma,Nihon Telenet,1990,Japan,CDROM2
TICD4003,Dennou Tenshi - Digital Angel,Tokuma Shoten,1994,Japan,SuperCDROM2
TICD-6008,Develo Magazine Volume I,Tokuma Shoten,1996,Japan,SuperCDROM2
TICD-6004,Develo Starter Kit - Assembler,Tokuma Shoten,1996,Japan,SuperCDROM2
TICD-6007,Develo Starter Kit - Basic,Tokuma Shoten,1996,Japan,SuperCDROM2
HCD2030,Doraemon Nobita no Dorabian Night,Hudson,1992,Japan,SuperCDROM2
NXCD2010,Double Dragon II - The Revenge,Naxat Soft,1993,Japan,SuperCDROM2
NAPR-1051,Doukyuusei,NEC Avenue,1995,Japan,SuperCDROM2
NAPR-1018,Download II,NEC Avenue,1991,Japan,CDROM2
NXCD2015,Downtown Nekketsu Monogatari,Naxat Soft,1993,Japan,SuperCDROM2
MCCD4006,Dragon Half,Micro Cabin,1994,Japan,SuperCDROM2
NAPR-1046,Dragon Knight & Grafitti,NEC Avenue,1995,Japan,SuperCDROM2
NAPR-1029,Dragon Knight II,NEC Avenue,1992,Japan,SuperCDROM2
NAPR-1035,Dragon Knight III,NEC Avenue,1994,Japan,SuperCDROM2
HCD1020,Dragon Slayer - Eiyuu Densetsu,Hudson,1991,Japan,SuperCDROM2
HCD2033,Dragon Slayer - Eiyuu Densetsu II,Hudson,1992,Japan,SuperCDROM2
BNCD4001,Dragon Ball Z - Idainaru Son Gokuu Densetsu,Bandai,1994,Japan,SuperCDROM2
HCD3034,Dungeon Explorer II,Hudson,1993,Japan,SuperCDROM2
JCCD2010,Dungeon Master - Theron's Quest,Victor Entertainment,1992,Japan,SuperCDROM2
BRCD1002,Efera & Jiliora - The Emblem from Darkness,Brain Gray,1991,Japan,CDROM2
ADCD4003,Eikan ha Kimini - Koukou Yakyuu Zenkoku Taikai,Artdink,1994,Japan,ArcadeCDROM2
ICCD3003,Eiyuu Sangokushi,Irem,1993,Japan,SuperCDROM2
HECD3005,Emerald Dragon,NEC Home Electronics,1994,Japan,SuperCDROM2
HMD-001,Emerald Dragon Taikenban,NEC Home Electronics,1994,Japan,SuperCDROM2
TJCD1014,Exile - Toki no Hasama he,Nihon Telenet,1991,Japan,CDROM2
TJCD2028,Exile II - Janen no Jishou,Nihon Telenet,1992,Japan,SuperCDROM2
NBCD2002,F1 Circus Special - Pole to Win,Nichibutsu,1992,Japan,SuperCDROM2
TJCD2026,F1 Team Simulation Project F,Nihon Telenet,1992,Japan,SuperCDROM2
RHCD3007,Faceball,Riverhill Software,1993,Japan,SuperCDROM2
RH3001,Faceball Taikenban,Riverhill Software,1993,Japan,SuperCDROM2
TJCD0008,Faerie Dust Story - Meikyuu no Elfeene,Nihon Telenet,1990,Japan,CDROM2
HMCD2003,Farjius no Jakoutei - Neo Metal Fantasy,Human Entertainment,1992,Japan,SuperCDROM2
NXCD2017,Faussete Amour,Naxat Soft,1993,Japan,SuperCDROM2
RSCD-3002,Fiend Hunter,Right Stuff,1993,Japan,SuperCDROM2
HCD8002,Fighting Street,Hudson,1988,Japan,CDROM2
TJCD0006,Final Zone II,Nihon Telenet,1990,Japan,CDROM2
HMCD4008,Wrestling Universe - Fire Pro Joshi - Dome Choujo Taisen,Human Entertainment,1995,Japan,ArcadeCDROM2
